comparison_group,model_size,condition_id,family,kappa,R_model_fraction,R_model_percent,baseline_implementation,optimized_implementation,baseline_speedup,optimized_speedup,speedup_delta,speedup_ratio_optimized_over_baseline,speedup_ratio_input_cluster_ci95_low,speedup_ratio_input_cluster_ci95_high,baseline_correctness_pass,optimized_correctness_pass,both_correct,evidence_scope,mechanism,baseline_source,optimized_source
70M complete-validation K009-to-K016,70M,70m/a0,A0,,4.5409213981255505e-06,0.00045409213981255505,k009,k016,0.32139733827282074,1.0051502835093293,0.6837529452365085,3.127438107953773,3.066280822480437,3.205228524574317,True,True,True,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a0-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a0-development-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a1h,A1-H,,0.1006575817198192,10.06575817198192,k009,k016,0.9517940011652679,0.9596025775109119,0.007808576345644025,1.0082040613158774,0.9966040479940533,1.0223677061432623,True,True,True,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a1h-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a1h-development-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a4-0,A4-OL1,0.0,0.25672509475572236,25.672509475572237,k009,k016,0.8162796054801794,0.7661377016159152,-0.0501419038642642,0.9385726367195367,0.9278275875957723,0.9564210212434032,True,True,True,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a4-0-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0-development-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a4-0p01,A4-OL1,0.01,0.2622424792437898,26.22424792437898,k009,k016,0.8240887322446456,0.9698701685760078,0.1457814363313622,1.1769001693959387,1.149396540752362,1.1991925671460513,True,False,False,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a4-0p01-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0p01-retrospective-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a4-0p05,A4-OL1,0.05,0.28489957631865137,28.48995763186514,k009,k016,0.97927263481734,0.9423220526706667,-0.03695058214667324,0.9622673187905781,0.9424058209852905,0.9760874960831969,True,False,False,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a4-0p05-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0p05-retrospective-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a4-0p1,A4-OL1,0.1,0.30574257817401346,30.574257817401346,k009,k016,0.9565521425313706,0.9067308674953163,-0.04982127503605427,0.947915777069706,0.9285905454348866,0.9651909619440888,True,False,False,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a4-0p1-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0p1-retrospective-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a4-0p5,A4-OL1,0.5,0.3559621916980309,35.59621916980309,k009,k016,1.0017213085951295,1.051361503493851,0.04964019489872151,1.0495548956309413,1.0350570611706684,1.070599348472864,True,True,True,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a4-0p5-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a4-0p5-development-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a7-0,A7-OL1,0.0,0.23562417494680196,23.562417494680197,k009,k016,0.8542562473279455,0.9993082172279794,0.14505196990003388,1.1697991327002248,1.1484779618200474,1.198032807150448,True,True,True,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a7-0-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a7-0-development-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a7-0p01,A7-OL1,0.01,0.24226276136279815,24.226276136279814,k009,k016,0.868021138898782,0.9911397019231709,0.12311856302438895,1.1418382082037584,1.1190546086954836,1.1703067629434967,True,True,True,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a7-0p01-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a7-0p01-retrospective-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a7-0p05,A7-OL1,0.05,0.265239409240229,26.5239409240229,k009,k016,0.8362195404792108,0.9903584187858921,0.15413887830668138,1.1843282425789157,1.17217637549253,1.2051118557888918,False,True,False,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a7-0p05-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a7-0p05-retrospective-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a7-0p1,A7-OL1,0.1,0.2869378509087325,28.69378509087325,k009,k016,0.8519646348253483,0.989646112435226,0.1376814776098777,1.1616046863706992,1.1531604016226273,1.1691799241843182,True,True,True,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a7-0p1-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a7-0p1-retrospective-rtxpro4500-002
70M complete-validation K009-to-K016,70M,70m/a7-0p5,A7-OL1,0.5,0.4060187215635989,40.60187215635989,k009,k016,0.9693325756033793,0.9921826557074922,0.022850080104112935,1.0235730034038002,0.9988995520849318,1.0428057176585077,True,True,True,same 16 timing blocks; both implementations evaluated over complete validation,topology-specific native fallback plus layer/site-specific sparse dispatch,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/final-70m-a7-0p5-k009-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k016final-70m-a7-0p5-development-rtxpro4500-002
410M development K004-to-K010,410M,410m/a0,A0,,0.00011047923803103942,0.011047923803103942,k004,k010,0.4711701126199577,0.9430873597781461,0.47191724715818834,2.0015857001923916,1.9985732184130385,2.004380272195252,True,True,True,16 development blocks; five passes; development gates only,native fallback for A0,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k004-410m-a0-all-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k010-410m-a0-rtxpro4500-002
410M development K004-to-K010,410M,410m/a4-0p5,A4-OL1,0.5,0.715914446480748,71.5914446480748,k004,k010,1.0158240346857883,1.0205080638239985,0.0046840291382101995,1.0046110635093006,0.9862936651253563,1.0202280604111722,True,True,True,16 development blocks; five passes; development gates only,restrict flagged-z sparse projection to layers 2 through 20,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k004flagz-410m-a4-0p5-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k010-410m-a4-0p5-rtxpro4500-002
410M development K004-to-K010,410M,410m/a7-0p5,A7-OL1,0.5,0.806155139186339,80.6155139186339,k004,k010,1.003350281357519,1.0160417805774404,0.01269149921992141,1.0126491211052933,1.0078436499537344,1.0194410580574382,True,True,True,16 development blocks; five passes; development gates only,restrict flagged-z sparse projection to layers 2 through 20,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k004flagz-410m-a7-0p5-rtxpro4500-002,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-002/artifacts/k010-410m-a7-0p5-rtxpro4500-002
